;directors;tconst;primaryName
506;nm0001752;tt3237960;Steven Soderbergh
507;nm0001752;tt3246584;Steven Soderbergh
508;nm0001752;tt3264160;Steven Soderbergh
509;nm0001752;tt3264168;Steven Soderbergh
510;nm0001752;tt3264170;Steven Soderbergh
511;nm0001752;tt3264172;Steven Soderbergh
512;nm0001752;tt3270666;Steven Soderbergh
513;nm0001752;tt3270682;Steven Soderbergh
514;nm0001752;tt3270696;Steven Soderbergh
515;nm0001752;tt3861348;Steven Soderbergh
516;nm0001752;tt3896912;Steven Soderbergh
517;nm0001752;tt3923556;Steven Soderbergh
518;nm0001752;tt3923558;Steven Soderbergh
519;nm0001752;tt3923562;Steven Soderbergh
520;nm0001752;tt3923564;Steven Soderbergh
521;nm0001752;tt3923568;Steven Soderbergh
522;nm0001752;tt3923574;Steven Soderbergh
523;nm0001752;tt3923576;Steven Soderbergh
524;nm0001752;tt3923582;Steven Soderbergh
525;nm0001752;tt5056958;Steven Soderbergh
526;nm0001752;tt5439796;Steven Soderbergh
527;nm0001752;tt5865326;Steven Soderbergh
528;nm0001752;tt7153766;Steven Soderbergh
529;nm0001752;tt7490500;Steven Soderbergh
530;nm0001752;tt7494408;Steven Soderbergh
531;nm0001752;tt7502384;Steven Soderbergh
532;nm0001752;tt7502408;Steven Soderbergh
533;nm0001752;tt7502424;Steven Soderbergh
534;nm0001752;tt7502438;Steven Soderbergh
535;nm0001752;tt7666316;Steven Soderbergh
536;nm0001752;tt7969168;Steven Soderbergh
537;nm0001752;tt8128188;Steven Soderbergh
538;nm0000265;tt0050302;Robert Altman
539;nm0000265;tt0058406;Robert Altman
540;nm0000265;tt0062827;Robert Altman
541;nm0000265;tt0065086;Robert Altman
542;nm0000265;tt0065492;Robert Altman
543;nm0000265;tt0066026;Robert Altman
544;nm0000265;tt0067411;Robert Altman
545;nm0000265;tt0068732;Robert Altman
546;nm0000265;tt0070334;Robert Altman
547;nm0000265;tt0071269;Robert Altman
548;nm0000265;tt0072274;Robert Altman
549;nm0000265;tt0073440;Robert Altman
550;nm0000265;tt0074254;Robert Altman
551;nm0000265;tt0075612;Robert Altman
552;nm0000265;tt0078481;Robert Altman
553;nm0000265;tt0079256;Robert Altman
554;nm0000265;tt0079710;Robert Altman
555;nm0000265;tt0079770;Robert Altman
556;nm0000265;tt0081353;Robert Altman
557;nm0000265;tt0083745;Robert Altman
558;nm0000265;tt0084831;Robert Altman
